country,lat,lon,name
ES,28.5714,-16.3136,Playa de los Troches
ES,28.5715,-16.2772,Playa del Garajao
ES,28.5719,-16.2754,Playa de la Fajana
ES,28.5725,-17.8995,Charco Verde
ES,28.5725,-16.1928,
ES,28.574,-13.8301,Playa de las Valdivias
ES,28.5754,-17.9054,Playa de Los Monjas
ES,28.5762,-16.1861,Playa de Benijo
ES,28.5769,-17.761,Playa del Burro
ES,28.5788,-16.181,Playa de Fabián
ES,28.5788,-16.135,Playa Casas Blancas
ES,28.58,-16.1347,Playa Roque Bermejo
ES,28.5809,-17.7608,Playa de La Cangrejera
ES,28.5819,-16.1748,Playa del Draguillo
ES,28.5835,-17.7601,Playa del Pozo
ES,28.5849,-17.9101,Playa de Puerto Naos
ES,28.5876,-16.1551,Playa de Las Breñas
ES,28.5878,-17.7579,Playa Piedra Nueva
ES,28.5889,-14.0364,
ES,28.5908,-14.0348,Playa de Tebeto
ES,28.5912,-17.9178,
ES,28.5917,-17.9181,Playa de La Bombilla
ES,28.5943,-17.7567,Playa la Martina
ES,28.6,-13.8258,Playa del Chinchorro
ES,28.601,-17.924,Playa de Charcón
ES,28.6036,-17.9244,
ES,28.6047,-17.9251,
ES,28.6063,-17.9261,
ES,28.6084,-17.9272,
ES,28.6129,-17.7561,Playa del Hoyo
ES,28.6182,-17.9275,
ES,28.6282,-17.9338,
ES,28.6349,-14.0275,Playa de Esquinzo
ES,28.6407,-17.9389,Playa El Mangón
ES,28.6452,-17.9448,Playa de Tarajales
ES,28.6484,-17.9449,Playa de Tarajales
ES,28.6485,-14.0215,Playa del Águila
ES,28.6508,-17.9474,Playa de El Puerto
ES,28.6531,-17.7604,Playa los Cancajos
ES,28.6615,-14.0149,Playa Mallorquines
ES,28.6621,-17.7636,Playa de Los Guinchos
ES,28.6679,-14.0118,Playa del Aljibe
ES,28.6703,-17.7689,Playa de Bajamar
ES,28.6734,-14.0096,Piedra Playa
ES,28.674,-13.8338,Playa del Moro
ES,28.6767,-14.009,Playa del Castillo
ES,28.6813,-14.0118,
ES,28.6836,-14.0114,Caleta del Cotillo
ES,28.684,-17.7624,Santa Cruz de La Palma
ES,28.6884,-13.8322,El Burro
ES,28.689,-14.0126,Playa del Marfolín
ES,28.6939,-14.0163,La Concha
ES,28.6957,-13.8328,Playa de Larga
ES,28.6958,-14.0168,
ES,28.6985,-14.0165,Playa la Barra
ES,28.7006,-13.8351,Playa del Bajo Negro
ES,28.7016,-14.0171,Caletillas
ES,28.7079,-13.8378,Playa del Caserón
ES,28.7099,-14.0167,Caleta del Rio
ES,28.7109,-14.0088,Caleta del Marrajo
ES,28.7132,-14.0044,Punta Gorda
ES,28.7152,-13.8393,Dunas de Corralejo
ES,28.7163,-13.8394,El Viejo
